iter	Passed	Remaining
0	1	165
1	3	154
2	4	148
3	5	137
4	6	131
5	8	127
6	9	123
7	10	119
8	11	116
9	12	114
10	13	111
11	14	108
12	15	106
13	17	104
14	18	102
15	19	100
16	20	97
17	21	96
18	22	94
19	23	92
20	24	90
21	24	88
22	25	86
23	26	85
24	27	83
25	28	81
26	30	81
27	31	81
28	32	80
29	34	79
30	35	78
31	36	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	46	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	51	57
47	52	56
48	52	55
49	53	53
50	54	52
51	55	51
52	56	50
53	57	48
54	58	47
55	58	46
56	59	45
57	60	43
58	61	42
59	62	41
60	62	40
61	63	38
62	64	37
63	64	36
64	65	35
65	66	34
66	67	33
67	67	31
68	68	30
69	68	29
70	69	28
71	70	27
72	70	26
73	71	25
74	72	24
75	72	23
76	73	21
77	74	20
78	75	19
79	75	18
80	76	17
81	77	16
82	77	15
83	78	14
84	78	13
85	79	12
86	80	11
87	80	11
88	81	10
89	82	9
90	82	8
91	83	7
92	83	6
93	84	5
94	85	4
95	85	3
96	86	2
97	87	1
98	87	0
99	88	0
