iter	RMSE
0	14.68470657
1	14.37306374
2	14.05051588
3	13.76774891
4	13.49316307
5	13.2306581
6	12.97539913
7	12.73007104
8	12.49843629
9	12.28615063
10	12.08004215
11	11.88867492
12	11.70247945
13	11.52819771
14	11.36373076
15	11.20889743
16	11.05527238
17	10.91015376
18	10.79166813
19	10.67031195
20	10.55033609
21	10.42368704
22	10.31634227
23	10.2102479
24	10.11539683
25	10.02744232
26	9.932540047
27	9.851658302
28	9.766010167
29	9.698871158
30	9.630215951
31	9.564048938
32	9.503822924
33	9.4399567
34	9.383237732
35	9.327008571
36	9.278452137
37	9.230962312
38	9.180309834
39	9.138490536
40	9.100770121
41	9.065412792
42	9.030869151
43	8.998303226
44	8.965732873
45	8.935407031
46	8.908272574
47	8.87847126
48	8.852690372
49	8.827412906
50	8.805247526
51	8.786049533
52	8.766682736
53	8.747288359
54	8.729309154
55	8.713549121
56	8.695649071
57	8.676774536
58	8.662564012
59	8.650382207
60	8.635641012
61	8.625725798
62	8.613553748
63	8.601481982
64	8.590354796
65	8.580954187
66	8.571726412
67	8.563773878
68	8.552148859
69	8.544389569
70	8.536794974
71	8.528868165
72	8.52112017
73	8.514084815
74	8.508674882
75	8.500362641
76	8.495009283
77	8.489963172
78	8.484497897
79	8.480733315
80	8.47401226
81	8.468731885
82	8.463922174
83	8.45818436
84	8.455345232
85	8.450619452
86	8.446112176
87	8.440857298
88	8.436483018
89	8.431481353
90	8.429417169
91	8.424190383
92	8.417844151
93	8.413728265
94	8.411589852
95	8.407558333
96	8.405412171
97	8.401505247
98	8.397765026
99	8.394648949
100	8.391182984
101	8.385757977
102	8.382242324
103	8.378869298
104	8.376890256
105	8.373397584
106	8.371243759
107	8.368602552
108	8.36611088
109	8.364048935
110	8.360860195
111	8.358526337
112	8.356614339
113	8.352618424
114	8.349445615
115	8.345837925
116	8.343094874
117	8.340830646
118	8.339673705
119	8.336750703
120	8.333320905
121	8.328635947
122	8.326444423
123	8.323869658
124	8.318836557
